wlobscd,agcnm,obsnm,addr,etcaddr,lon,lat,gdt,attwl,wrnwl,almwl,srswl,pfh,fstnyn,links,시도명
1007685,환경부,양평군(양평교),경기도 양평군,양평읍 양근리 양평교,127.49,37.48638888888889,19.558,8.5,9,11,13.6,13.6,N,[],경기도
1007690,환경부,양평군(봉상교),경기도 양평군,단월면 봉상리 봉상교,127.65138888888889,37.51166666666666,78.78,2,3,4,4.5,4.51,N,[],경기도
1007697,환경부,양평군(신원리),경기도 양평군 양서면,신원리 462-2,127.37138888888889,37.525,24.29,3.3,4,5,6,6.02,N,[],경기도
1010695,환경부,춘천시(춘천댐하류),강원도 춘천시,서면 서상리 산 2-2,127.67583333333334,37.95944444444445,71.811,5.5,6.5,8.5,10.7,10.71,N,[],강원도
1011620,환경부,인제군(반월촌교),강원도 인제군 서화면,심적리 반월촌교,128.2036111111111,38.26444444444444,310.488,4,5,6,8.2,8.22,N,[],강원도
1011695,환경부,인제군(리빙스턴교),강원도 인제군 인제읍,합강리 리빙스턴교,128.18333333333334,38.08833333333334,192.943,4.5,6.5,8,9.7,9.71,N,[],강원도
1012630,환경부,인제군(왕성동교),강원도 인제군,상남면 미산리 왕성동교,128.3227777777778,37.871944444444445,373.813,4,5.5,6.5,9.5,9.48,N,[],강원도
1012635,환경부,인제군(양지교),강원도 인제군 상남면,미산리 양지교,128.28833333333333,37.876666666666665,340.511,3.5,4.5,5.5,6.6,6.57,N,[],강원도
1012640,환경부,인제군(현리교),강원도 인제군,기린면 현리 현리교,128.31722222222223,37.948055555555555,285.965,2.5,3.5,4,5.4,5.42,N,[],강원도
1012645,환경부,인제군(하죽천교),강원도 인제군 기린면,서리 하죽천교,128.30805555555557,37.97694444444445,261.206,3.5,7.5,9,11.1,11.08,N,[],강원도
1012685,환경부,춘천시(천전리),강원도 춘천시,신북읍 천전리61-20,127.78972222222222,37.930277777777775,76.049,2.5,4.5,6,7,7.03,N,[],강원도
1013637,환경부,춘천시(소양2교),강원도 춘천시,근화동 소양2교,127.7225,37.893055555555556,.012,71.5,73,74,74.7,74.69,N,[],강원도
1013645,환경부,춘천시(강촌교),강원도 춘천시,남산면 강촌리 강촌교,127.63361111111112,37.8175,52.497,2,8.5,10.5,12.2,12.2,N,[],강원도
1013655,환경부,가평군(가평교),경기도 가평군,가평읍 읍내리 가평교,127.51805555555555,37.831388888888895,51.857,1.8,3,4,5.2,5.18,Y,[],경기도
1014620,환경부,홍천군(용선교),강원도 홍천군,내촌면 답풍리 용선교,128.0652777777778,37.81333333333333,184.738,2.5,3.5,4,4.6,4.58,N,[],강원도
1014630,환경부,홍천군(주음치교),강원도 홍천군,화촌면 주음치리 주음치교,127.98333333333333,37.78444444444444,152.147,3,4,5,6.3,6.25,N,[],강원도
1014640,환경부,홍천군(굴운교),강원도 홍천군,화촌면 굴운리 굴운교,127.9413888888889,37.73861111111111,131.685,3.5,4.5,6,7.3,7.26,N,[],강원도
1014650,환경부,홍천군(홍천교),강원도 홍천군,홍천읍 연봉리 홍천교,127.87888888888888,37.68722222222222,119.731,2,4,5,6.5,6.52,Y,[],강원도
1014665,환경부,홍천군(남노일대교),강원도 홍천군 남면,남노일리 남노일대교,127.77055555555556,37.67527777777777,89.282,5.5,6.5,8,9.3,9.34,N,[],강원도
1014680,환경부,홍천군(반곡교),강원도 홍천군,서면 반곡리 반곡교,127.67055555555557,37.69361111111111,68.288,3,4,5,6,5.96,N,[],강원도
1014696,환경부,홍천군(모곡교),강원도 홍천군,서면 모곡리 모곡교,127.60499999999999,37.67194444444444,58.438,3.4, , , , ,N,[],강원도
1015644,환경부,가평군(청평교),경기도 가평군,청평면 청평리 청평교,127.41444444444446,37.73416666666667,31.222,2,4.5,5.5,8.6,8.59,N,[],경기도
1015645,환경부,가평군(신청평대교),경기도 가평군,청평면 삼회리 산90 신청평대교,127.41027777777778,37.71805555555556,22.612,5,10,12.5,15.5,15.46,N,[],경기도
1015680,환경부,남양주시(삼봉리),경기도 남양주시,조안면 삼봉리 235-1,127.33916666666666,37.59527777777778,24.422,1.6,4.5,6,7.2,7.25,N,[],경기도
1016607,환경부,용인시(월촌교),경기도 용인시,처인구 모현면 갈담리 월촌교,127.23944444444444,37.3325,49.553,1.5,4.5,5,6.7,6.71,N,[],경기도
1016650,환경부,광주시(경안교),경기도 광주시,쌍령동 경안교,127.26305555555555,37.406666666666666,34.106,1.5,4,5,6.1,6.13,Y,[],경기도
1016660,환경부,광주시(섬뜰교),경기도 광주시,초월읍 도평리 섬뜰교,127.29277777777777,37.399166666666666,36.123,2.5,4,5,6.4,6.41,N,[],경기도
1016670,환경부,광주시(서하교),경기도 광주시,초월읍 서하리 서하교,127.30833333333334,37.428888888888885,26.762,3.5,4.5,5.5,5.9,5.92,N,[],경기도
1016695,환경부,광주시(광동교),경기도 광주시,퇴촌면 광동리 광동교,127.29416666666667,37.471111111111114,-.057,26,27,27.5,28.3,28.35,N,[],경기도
1018610,환경부,남양주시(팔당대교),경기도 남양주시,와부읍 팔당리 팔당대교,127.23944444444444,37.547777777777775,5.571,7,9,11.5,15.5,15.52,N,[],경기도
1018620,환경부,남양주시(부평교),경기도 남양주시,진접읍 부평리 부평교,127.19666666666667,37.74027777777778,56.285,1.5,2.5,3.5,4.8,4.82,N,[],경기도
1018623,환경부,남양주시(연평대교),경기도 남양주시,진접읍 연평리 연평대교,127.18222222222222,37.71,44.501,1.8,2,2.5,4.2,4.25,N,[],경기도
