,wlobscd,agcnm,obsnm,addr,etcaddr,lon,lat,gdt,attwl,wrnwl,almwl,srswl,pfh,fstnyn,links
167,1013620,한국수력원자력,목동교,경기도 가평군,북면 목동리,127-32-54,37-52-59 ,98.689, , , , , ,N,[]
168,1013635,한국수력원자력,의암댐,강원도 춘천시,신동면 옛경춘로 62-15,127-40-25,37-50-17 , , , , , , ,N,[]
169,1013637,환경부,춘천시(소양2교),강원도 춘천시,근화동 소양2교,127-43-21,37-53-35 ,.012,71.5,73,74,74.7,74.69,N,[]
170,1013645,환경부,춘천시(강촌교),강원도 춘천시,남산면 강촌리 강촌교,127-38-01,37-49-03 ,52.497,2,8.5,10.5,12.2,12.2,N,[]
171,1013652,한국수력원자력,가평천,경기도 가평군,북면 개곡리,127-31-40,37-52-29 , , , , , , ,N,[]
172,1013655,환경부,가평군(가평교),경기도 가평군,가평읍 읍내리 가평교,127-31-05,37-49-53 ,51.857,1.8,3,4,5.2,5.18,Y,[]
173,1014620,환경부,홍천군(용선교),강원도 홍천군,내촌면 답풍리 용선교,128-03-55,37-48-48 ,184.738,2.5,3.5,4,4.6,4.58,N,[]
174,1014630,환경부,홍천군(주음치교),강원도 홍천군,화촌면 주음치리 주음치교,127-59-00,37-47-04 ,152.147,3,4,5,6.3,6.25,N,[]
175,1014635,한국수력원자력,홍천강(성포교),강원도 홍천군,화촌면 성산리,127-58-27,37-45-48 , , , , , , ,N,[]
176,1014640,환경부,홍천군(굴운교),강원도 홍천군,화촌면 굴운리 굴운교,127-56-29,37-44-19 ,131.685,3.5,4.5,6,7.3,7.26,N,[]
177,1014648,한국수력원자력,홍천강(남산교),강원도 홍천군,홍천읍 희망리,127-53-23,37-41-10 , , , , , , ,N,[]
178,1014650,환경부,홍천군(홍천교),강원도 홍천군,홍천읍 연봉리 홍천교,127-52-44,37-41-14 ,119.731,2,4,5,6.5,6.52,Y,[]
179,1014665,환경부,홍천군(남노일대교),강원도 홍천군 남면,남노일리 남노일대교,127-46-14,37-40-31 ,89.282,5.5,6.5,8,9.3,9.34,N,[]
180,1014680,환경부,홍천군(반곡교),강원도 홍천군,서면 반곡리 반곡교,127-40-14,37-41-37 ,68.288,3,4,5,6,5.96,N,[]
181,1014695,한국수력원자력,한덕교,강원도 홍천군,서면 모곡리,127-36-48,37-40-20 , , , , , , ,N,[]
182,1014696,환경부,홍천군(모곡교),강원도 홍천군,서면 모곡리 모곡교,127-36-18,37-40-19 ,58.438,3.4, , , , ,N,[]
183,1015630,한국수력원자력,산장제1교,경기도 가평군,상면 덕현리,127-24-37,37-45-18 ,58.96, , , , , ,N,[]
184,1015639,한국수력원자력,청평댐,경기도 가평군,설악면 유명로 2630,127-25-28,37-43-15 , , , , , , ,N,[]
185,1015640,환경부,가평군(청평댐),경기도 가평군,설악면 회곡리 745-27,127-25-23,37-43-24 ,.67, , , , ,51.33,N,[]
186,1015644,환경부,가평군(청평교),경기도 가평군,청평면 청평리 청평교,127-24-52,37-44-03 ,31.222,2,4.5,5.5,8.6,8.59,N,[]
187,1015645,환경부,가평군(신청평대교),경기도 가평군,청평면 삼회리 산90 신청평대교,127-24-37,37-43-05 ,22.612,5,10,12.5,15.5,15.46,N,[]
