rfobscd,agcnm,obsnm,addr,etcaddr,lon,lat,links,시도명,시군구명
10034100,한국수자원공사,단양군(하방리),충청북도 단양군,단성면 하방리 산15-2,128.32694444444445,36.93888888888888,[],충청북도,단양군
10034110,한국수자원공사,단양군(오사리),충청북도 단양군,영춘면 오사리 36,128.51277777777779,37.09583333333334,[],충청북도,단양군
10034120,한국수자원공사,영월군(주문리),강원도 영월군,하동면 주문리 166-3,128.61694444444444,37.13638888888889,[],강원도,영월군
10034130,한국수자원공사,충주시(충주댐),충청북도 충주시,동량면 조동리 산 180-4,127.99694444444445,37.00416666666667,[],충청북도,충주시
10034140,한국수자원공사,단양군(가평리),충청북도 단양군 매포읍, 가평리 142-7,128.2861111111111,37.06888888888889,[],충청북도,단양군
10034150,한국수자원공사,제천시(삼거리),충청북도 제천시,봉양읍 삼거리 220-1,128.13777777777776,37.084722222222226,[],충청북도,제천시
10034160,한국수자원공사,제천시(도전리),충청북도 제천시,덕산면 도전리 907-9,128.15944444444446,36.89805555555556,[],충청북도,제천시
10034170,한국수자원공사,단양군(율곡리),충청북도 단양군,어상천면 율곡리 220,128.3836111111111,37.05694444444444,[],충청북도,단양군
10034180,한국수자원공사,영월군(내리),강원도 영월군,하동면 내리 산279-3,128.7097222222222,37.0925,[],강원도,영월군
10044010,환경부,괴산군(청천면사무소),충청북도 괴산군,청천면 괴산로 1342-1 청천면사무소,127.7375,36.660555555555554,[],충청북도,괴산군
10044020,환경부,충주시(수안보면사무소),충청북도 충주시,수안보면 관동길 9-9 수안보행정복지센터,127.99472222222222,36.84722222222222,[],충청북도,충주시
10044030,환경부,괴산군(연풍초교),충청북도 괴산군,연풍면 중앙로 53 연풍초등학교,127.9975,36.761944444444445,[],충청북도,괴산군
10044040,기타,갈계,경상남도 거창군,북상면    갈계리    북상면사무소,127.81666666666666,36.766666666666666,[],경상남도,거창군
10044060,환경부,보은군(법주분교),충청북도 보은군,속리산면 속리산로 743 수정초등학교 법주분교(폐교),127.80638888888889,36.51027777777778,[],충청북도,보은군
10044080,환경부,상주시(입석분교),경상북도 상주시,화북면 문장로 2645 화북초등학교 입석분교,127.88611111111112,36.63805555555555,[],경상북도,상주시
10044090,환경부,보은군(법주사),충청북도 보은군,속리산면 법주사로 421 법주사,127.8325,36.54083333333333,[],충청북도,보은군
10044100,한국수자원공사,괴산군(고마리),충청북도 괴산군,소수면 고마리 전339-1,127.7363888888889,36.815555555555555,[],충청북도,괴산군
10044110,환경부,청주시(성대리),충청북도 청주시,상당구 미원면 성대리 596-29,127.65833333333335,36.617222222222225,[],충청북도,청주시
10044120,한국수자원공사,충주시(대곡리),충청북도 충주시,주덕읍 대곡리 45,127.76305555555555,36.959722222222226,[],충청북도,충주시
10044130,한국수자원공사,충주시(향산리),충청북도 충주시,살미면 향산리 산20-1,127.79305555555555,36.80777777777777,[],충청북도,충주시
10044140,한국수자원공사,괴산군(오가리),충청북도 괴산군,장연면 오가리 641-10,127.95361111111112,36.81027777777778,[],충청북도,괴산군
10044150,환경부,음성군(음성고교),충청북도 음성군,음성읍 중앙로 109-16 음성고등학교,127.68611111111112,36.93416666666666,[],충청북도,음성군
10044160,환경부,괴산군(송면중교),충청북도 괴산군,청천면 문장로 2915 송면중학교,127.87472222222222,36.66,[],충청북도,괴산군
10044170,환경부,괴산군(문당리),충청북도 괴산군,청안면 문당리 932-2,127.6713888888889,36.74138888888889,[],충청북도,괴산군
10044180,환경부,보은군(탁주리),충청북도 보은군,산외면 탁주리105-2,127.74888888888889,36.569722222222225,[],충청북도,보은군
10044182,한국수력원자력,괴산댐,충청북도 괴산군,칠성면 산막이옛길 43,127.84305555555555,36.759166666666665,[],충청북도,괴산군
10044270,한국수력원자력,송면,충청북도 괴산군,청천면 송면리 116-2 (송면초등학교 뒤 아람슈퍼 건물 옥상),127.86388888888888,36.67111111111111,[],충청북도,괴산군
10044280,한국수력원자력,미원,충청북도 청원군,미원면 미원리 403-4 (미원시외버스터미널에서 보은방향으로 800m지점 첫번째 주택 옥상),127.66000000000001,36.62277777777778,[],충청북도,청원군
10044282,한국수력원자력,내속리,충청북도 보은군,속리산면 상판리 (속리중학교속리중학교 표지판이 있는 집 옥상),127.8111111111111,36.510555555555555,[],충청북도,보은군
10044284,한국수력원자력,압항천,충청북도 괴산군,청안면 부흥리 190-4 (부흥차부하이퍼 건물 옥상에 위치),127.73222222222222,36.70277777777778,[],충청북도,괴산군
10044285,한국수력원자력,고성교,충청북도 괴산군 청천면,고성리 575,127.76333333333334,36.66611111111111,[],충청북도,괴산군
